"VGS
References : ['DC.IDS.i']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","VDS
References : ['DC.IDS.i']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","DC.IDS.i
References : []
Dependency : [VGS,VDS]
Num. Points : [16,33]
Matrix Size : scalar
Type : Real"
-3.000,0.000,1.400E-40
-3.000,1.000,1.000E-12
-3.000,2.000,5.978E-5
-3.000,3.000,0.001
-3.000,4.000,0.002
-3.000,5.000,0.002
-3.000,6.000,0.003
-3.000,7.000,0.004
-3.000,8.000,0.005
-3.000,9.000,0.005
-3.000,10.000,0.006
-3.000,11.000,0.006
-3.000,12.000,0.007
-3.000,13.000,0.007
-3.000,14.000,0.008
-3.000,15.000,0.008
-3.000,16.000,0.009
-3.000,17.000,0.009
-3.000,18.000,0.009
-3.000,19.000,0.010
-3.000,20.000,0.010
-3.000,21.000,0.010
-3.000,22.000,0.010
-3.000,23.000,0.011
-3.000,24.000,0.011
-3.000,25.000,0.011
-3.000,26.000,0.011
-3.000,27.000,0.011
-3.000,28.000,0.012
-3.000,29.000,0.012
-3.000,30.000,0.012
-3.000,31.000,0.012
-3.000,32.000,0.012
-2.900,0.000,1.423E-40
-2.900,1.000,2.576E-4
-2.900,2.000,0.008
-2.900,3.000,0.015
-2.900,4.000,0.019
-2.900,5.000,0.023
-2.900,6.000,0.026
-2.900,7.000,0.028
-2.900,8.000,0.030
-2.900,9.000,0.032
-2.900,10.000,0.034
-2.900,11.000,0.035
-2.900,12.000,0.037
-2.900,13.000,0.038
-2.900,14.000,0.039
-2.900,15.000,0.040
-2.900,16.000,0.041
-2.900,17.000,0.042
-2.900,18.000,0.042
-2.900,19.000,0.043
-2.900,20.000,0.044
-2.900,21.000,0.044
-2.900,22.000,0.045
-2.900,23.000,0.045
-2.900,24.000,0.046
-2.900,25.000,0.046
-2.900,26.000,0.046
-2.900,27.000,0.047
-2.900,28.000,0.047
-2.900,29.000,0.047
-2.900,30.000,0.047
-2.900,31.000,0.048
-2.900,32.000,0.048
-2.800,0.000,1.399E-40
-2.800,1.000,0.010
-2.800,2.000,0.039
-2.800,3.000,0.054
